job_id,title,date_posted,first_seen,last_seen,location,industry,employer,employment_type,salary,url,html_file,json_file,description_length,scraped_at,status
25013,Senior Payroll Officer,28/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Banking and Financial Services,National Development Bank,,",",https://www.pngworkforce.com/jobs/view/senior-payroll-officer/25013,html_output/job_25013.html,json_output/job_25013.json,2090,2025-10-31T16:21:47.160064,success
25012,Electrician,28/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Electrical,Southern Cross Properties,,",",https://www.pngworkforce.com/jobs/view/electrician/25012,html_output/job_25012.html,json_output/job_25012.json,1747,2025-10-31T16:21:49.508300,success
25011,Service Advisor,28/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,"Mechanical, Trade / Workshop",PNG Motors,,",",https://www.pngworkforce.com/jobs/view/service-advisor/25011,html_output/job_25011.html,json_output/job_25011.json,3465,2025-10-31T16:21:53.339972,success
25010,Niu Ford Senior Automotive Sales Consultants,28/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Automotive,PNG Motors,,",",https://www.pngworkforce.com/jobs/view/niu-ford-senior-automotive-sales-consultants/25010,html_output/job_25010.html,json_output/job_25010.json,2429,2025-10-31T16:21:55.679372,success
25008,Purchasing Officer,28/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Procurement / Purchasing,Global Constructions Limited,,",",https://www.pngworkforce.com/jobs/view/purchasing-officer/25008,html_output/job_25008.html,json_output/job_25008.json,2080,2025-10-31T16:21:58.914195,success
25007,SAFETY OFFICERS,28/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,"Construction, Building and Architecture, Occupational Health and Safety",Global Constructions Limited,,",",https://www.pngworkforce.com/jobs/view/safety-officers/25007,html_output/job_25007.html,json_output/job_25007.json,3066,2025-10-31T16:22:02.340919,success
25006,Sales Representative,28/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Western (Fly),"FMCG, Sales",Trukai Industries Limited,,",",https://www.pngworkforce.com/jobs/view/sales-representative-tabubil/25006,html_output/job_25006.html,json_output/job_25006.json,2045,2025-10-31T16:22:04.682427,success
25005,"Advisor, Contracts (Category Management)",28/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,"National Capital District, Morobe, Autonomous Region of Bougainville, Central, East Sepik, East New Britain, Eastern Highlands, Madang, Milne Bay, New Ireland, Western Highlands, Papua New Guinea","Mining, Oil and Gas",Newmont,Contract,",",https://www.pngworkforce.com/jobs/view/advisor-contracts-category-management/25005,html_output/job_25005.html,json_output/job_25005.json,7544,2025-10-31T16:22:08.010584,success
25004,Reach Stacker Operator,28/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Trade / Workshop,Spectra Industrial Ltd,,",",https://www.pngworkforce.com/jobs/view/reach-stacker-operator/25004,html_output/job_25004.html,json_output/job_25004.json,3053,2025-10-31T16:22:10.342934,success
25003,DRAFTSMAN DETAILER,28/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Western (Fly),"Construction, Building and Architecture",Tabubil Engineering Limited,,",",https://www.pngworkforce.com/jobs/view/draftsman-detailer/25003,html_output/job_25003.html,json_output/job_25003.json,2616,2025-10-31T16:22:13.554778,success
25002,INVENTORY CLERK – FARM BASED,28/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Morobe,Administration / Office Support,Zenag Chicken,,",",https://www.pngworkforce.com/jobs/view/inventory-clerk-farm-based/25002,html_output/job_25002.html,json_output/job_25002.json,2447,2025-10-31T16:22:15.894292,success
25001,Shotcreter 1,29/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,"Eastern Highlands, Eastern Highlands","Mining, Oil and Gas, Mining, Oil and Gas",K92 Mining Inc.,Permanent,1,https://www.pngworkforce.com/jobs/view/shotcreter-1/25001,html_output/job_25001.html,json_output/job_25001.json,3836,2025-10-31T16:22:18.222481,success
25000,Chief Operating Officer,27/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Management,PeopleConnexion,,",",https://www.pngworkforce.com/jobs/view/chief-operating-officer-financial-services/25000,html_output/job_25000.html,json_output/job_25000.json,3253,2025-10-31T16:22:21.363303,success
